,Pop Benchmark - Sex-alias,Recip Sex-value,Recip Sex-alias,SUM(Unknown First Doses - Sex)-alias,AGG(COVID-19 Doses Administered)-alias,AGG(Pop % Complete - Sex)-value,AGG(Pop % Complete - Sex)-alias,AGG(Pop % Complete - Age)-alias,AGG(Pop Size - Sex)-alias
0,0.508,F,Female,545271,464053,0.110604582281861,0.110604582281861,2.5773911834488716,3109138.816
1,0.492,M,Male,545271,251226,0.0668786923058318,0.0668786923058318,1.5093723217646435,3011213.184
