,Recip Ethnicity-value,Recip Ethnicity-alias,SUM(Pop Benchmark - Ethnicity)-alias,AGG(COVID-19 Doses Administered)-alias,AGG(Pop % Complete - Ethnicity)-value,AGG(Pop % Complete - Ethnicity)-alias,AGG(Pop Size - Ethnicity)-alias
0,Not Hispanic or Latino,Not Hispanic or Latino,414509.81499999994,508601,0.0774489316834032,0.0774489316834032,4988086.88
1,Hispanic or Latino,Hispanic or Latino,3081.545,16657,0.0113321516077436,0.0113321516077436,1132265.1199999999
